Age,Gender,Ethnicity,Ethnicity_Elab,EnglishNativeLang,BPNSF_AS1,BPNSF_AF1,BPNSF_RS1,BPNSF_RF1,BPNSF_CS1,BPNSF_CF1,BPNSF_AS2,BPNSF_AF2,BPNSF_RS2,BPNSF_RF2,BPNSF_CS2,BPNSF_CF2,BPNSF_AS3,BPNSF_AF3,BPNSF_RS3,BPNSF_RF3,BPNSF_CS3,BPNSF_CF3,BPNSF_AS4,BPNSF_AF4,BPNSF_RS4,BPNSF_RF4,BPNSF_CS4,BPNSF_CF4,VG_Frequency,VG_YearsPlaying,VG_SessionLength,WeekdayPlaytime_1,WeekdayPlaytime_2,WeekdayPlaytime_3,WeekdayPlaytime_4,WeekendPlaytime_1,WeekendPlaytime_2,WeekendPlaytime_3,WeekendPlaytime_4,GAMS_Intrinsic1,GAMS_Intrinsic2,GAMS_Intrinsic3,GAMS_Integrated1,GAMS_Integrated2,GAMS_Integrated3,GAMS_Identified1,GAMS_Identified2,GAMS_Identified3,GAMS_Introjected1,GAMS_Introjected2,GAMS_Introjected3,GAMS_External1,GAMS_External2,GAMS_External3,GAMS_Amotivation1,GAMS_Amotivation2,GAMS_Amotivation3,GAMS_AttCheck,IGD_1,IGD_2,IGD_3,IGD_4,IGD_5,IGD_6,IGD_7,IGD_8,IGD_9,IGD_10,IGD_11,IGD_12,IGD_13,IGD_14,IGD_15,IGD_16,IGD_17,IGD_18,IGD_19,IGD_20,IGD_21,IGD_22,IGD_23,IGD_24,IGD_25,IGD_26,IGD_27,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,SCS_12,SCS_13,SCS_14,SCS_15,SCS_16,SCS_17,SCS_18,SCS_19,SCS_20,SCS_21,SCS_22,SCS_23,SCS_24,SCS_25,SCS_26,SCS_27,SCS_28,SCS_29,SCS_30,SCS_31,SCS_32,SCS_33,SCS_34,SCS_35,SCS_36,SCS_AttCheck,AC1_Fail,AC2_Fail,AC3_Fail,Failed_ACs,CompSat,AutoSat,RelSat,CompFrust,AutoFrust,RelFrust,NeedSat,NeedFrust,AvgWeekdayPlaytime,AvgWeekendPlaytime,AvgWeeklyPlaytime,Intrinsic,Integrated,Identified,Introjected,External,Amotivation,IGD,SelfControl,AvgWeeklyPlaytime_Wins,SC_P1,SC_P2,SC_P3,IGD_P1,IGD_P2,IGD_P3,Male
20,Female,White,NA,Yes,4,2,4,2,4,1,4,1,5,1,5,2,4,2,4,1,4,3,4,2,5,1,4,1,About once a week,10,30,0,0,0,0,0,0,0.5,0,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,3,2,2,4,2,4,3,3,3,4,4,3,4,4,4,4,3,4,2,1,4,3,4,4,4,4,4,2,4,2,3,1,4,2,0,0,0,0,4.25,4,4.5,1.75,1.75,1.25,4.25,1.583333333,0,0.5,1,1.666666667,1,1.333333333,1,1.666666667,3,0,3.083333333,1,2.916666667,3.25,3.083333333,0,0,0,0
19,Female,White,NA,Yes,5,2,5,3,4,1,4,1,4,1,5,1,4,1,4,3,5,1,4,2,4,1,5,2,About once a month,12,60,0,0,0,0,0,0,0,0,6,4,6,1,1,1,1,1,1,1,3,1,7,5,7,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,5,2,5,2,2,1,1,1,1,4,5,1,1,5,2,1,3,4,4,4,5,5,4,3,2,5,2,4,1,2,1,4,2,0,0,0,0,4.75,4.25,4.25,1.25,1.5,2,4.416666667,1.583333333,0,0,0,5.333333333,1,1,1.666666667,6.333333333,1.666666667,0.111111111,3.972222222,0,3.916666667,4.5,3.5,0.1,0,0.25,0
20,Male,White,NA,Yes,3,4,4,2,3,3,3,3,3,3,4,3,3,4,4,3,3,3,2,4,4,2,3,2,About 4 or 5 times a week,13,150,0,1,2,0,0,1,2,0,6,3,4,4,4,5,3,3,4,4,4,3,6,3,5,5,5,6,5,1,2,3,3,3,2,2,2,1,2,1,1,3,3,4,2,2,2,2,2,2,2,2,3,2,1,1,2,4,4,2,3,5,2,5,3,4,1,4,2,3,2,4,4,3,3,4,2,1,4,3,3,2,2,4,4,3,3,4,2,2,4,2,2,0,0,0,0,3.25,2.75,3.75,2.75,3.75,2.5,3.25,3,3,3,21,4.333333333,4.333333333,3.333333333,3.666666667,4.666666667,5.333333333,1.074074074,2.472222222,21,2.416666667,2.583333333,2.416666667,1,0.777777778,1.5,1
18,Female,White,NA,Yes,4,3,4,1,4,1,4,2,5,2,4,2,5,1,5,2,5,2,4,4,5,2,5,2,About once a month,6,90,0,0,1,0,0,1,0,0,5,7,5,1,1,1,2,1,1,1,1,1,1,5,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,5,3,5,3,4,3,4,2,3,2,4,5,4,4,3,3,1,2,4,5,4,3,4,2,1,5,1,3,3,3,1,5,2,0,0,0,0,4.5,4.25,4.75,1.75,2.5,1.75,4.5,2,1,1,7,5.666666667,1,1.333333333,1,3,1,0,3.638888889,7,3.333333333,3.916666667,3.666666667,0,0,0,0
18,Female,White,NA,Yes,4,3,4,4,4,2,4,2,5,2,4,2,4,2,5,4,4,3,3,3,4,3,4,1,Less than once a month,12,1,0,0,1,0,0,0,1,0,4,4,2,2,1,2,3,2,5,2,2,2,2,4,4,4,3,5,5,2,1,1,1,1,1,2,1,1,1,1,1,3,3,3,1,1,1,1,2,2,1,1,2,1,1,1,3,4,4,1,2,2,5,3,3,3,1,2,4,2,4,4,3,4,4,3,2,3,3,3,2,4,4,3,3,3,2,3,2,2,1,5,2,0,0,0,0,4,3.75,4.5,2,2.5,3.25,4.083333333,2.583333333,1,1,7,3.333333333,1.666666667,3.333333333,2,3.333333333,4,0.407407407,3.5,7,3.583333333,3.416666667,3.5,0.4,0.333333333,0.5,0
23,Male,White,NA,Yes,2,3,3,4,2,4,1,5,3,3,4,5,2,3,2,4,2,4,1,5,5,2,3,5,Almost every day,18,90,0,0,2,0,0,2,4,3,6,5,5,3,3,4,1,1,5,1,1,1,1,1,1,2,2,2,5,4,3,1,2,1,3,1,1,1,1,1,1,3,3,3,1,2,1,2,4,4,1,1,2,1,1,2,2,2,3,3,5,2,3,5,1,4,2,2,2,1,2,3,4,4,5,1,1,2,4,4,1,2,1,2,5,4,1,1,1,2,1,4,2,0,0,0,0,2.75,1.5,3.25,4.5,4,3.25,2.5,3.916666667,2,9,28,5.333333333,3.333333333,2.333333333,1,1,2,0.888888889,3.388888889,28,3.416666667,3.083333333,3.666666667,0.7,1,1,1
19,Male,White,NA,Yes,3,4,4,3,4,2,3,3,4,1,4,3,3,4,4,2,4,2,3,3,4,2,4,4,About 4 or 5 times a week,11,45,0,1,1,0,0,1,2,0,5,5,4,3,2,2,2,2,4,4,2,2,4,3,3,2,2,2,5,1,2,1,1,2,1,1,3,1,1,1,1,2,1,2,1,3,1,2,2,1,2,2,2,1,1,1,3,4,3,3,2,3,3,3,2,3,2,2,2,3,3,2,3,4,2,3,2,2,2,2,4,2,3,3,2,3,4,3,2,2,3,3,2,0,0,0,0,4,3,4,2.75,3.5,2,3.666666667,2.75,2,3,16,4.666666667,2.333333333,2.666666667,2.666666667,3.333333333,2,0.481481481,3.083333333,16,3.083333333,3.083333333,3.083333333,0.5,0.555555556,0.375,1
19,Male,Asian/Pacific Islander,NA,Yes,4,3,4,1,5,2,4,1,4,1,5,1,4,2,4,2,2,1,5,2,4,3,4,2,Almost every day,15,120,0,0,2,0,0,1,2,1,4,1,3,2,3,5,1,1,5,5,1,1,1,4,5,1,1,1,5,3,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,3,2,4,2,4,4,3,3,3,4,4,2,4,5,4,3,4,4,4,2,2,3,3,4,5,5,4,2,4,3,3,3,3,3,5,2,0,0,0,0,4,4.25,4,1.5,2,1.75,4.083333333,1.75,2,4,18,2.666666667,3.333333333,2.333333333,2.333333333,3.333333333,1,0.37037037,3,18,2.666666667,3.083333333,3.25,0.3,0.666666667,0.125,1
18,Male,African American,NA,Yes,3,3,3,1,5,3,4,3,4,2,5,3,3,3,3,1,5,3,4,3,5,3,4,1,About 2 or 3 times a week,12,120,0,0,1,0,0,2,0,0,6,3,4,3,4,3,4,3,4,4,4,2,5,5,5,3,6,3,5,4,1,2,3,2,3,2,2,5,3,3,2,3,3,3,1,5,2,2,2,2,3,3,2,3,2,2,3,3,4,4,5,3,4,4,5,3,4,2,3,5,5,4,3,5,4,3,1,4,4,2,4,4,3,5,4,4,2,3,1,4,1,4,2,0,0,0,0,4.75,3.5,3.75,2.5,3,1.75,4,2.416666667,1,2,9,4.333333333,3.333333333,3.666666667,3.333333333,5,4,1.592592593,3.055555556,9,2.583333333,3.083333333,3.5,1.5,2.111111111,1.125,1
18,Female,Latino/Hispanic,NA,Yes,4,2,5,2,5,2,4,1,5,1,4,1,4,1,5,2,5,1,4,1,5,1,4,1,A couple of times a month,7,120,1,2,1,0,0,2,2,0,6,5,1,1,2,3,1,4,2,1,1,1,2,4,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,2,4,4,2,2,3,1,3,2,4,3,2,4,3,3,1,3,2,4,3,4,3,3,2,4,2,2,2,2,2,4,2,0,0,0,0,4.5,4,5,1.25,1.25,1.5,4.5,1.333333333,4,4,28,4,2,2.333333333,1,2.333333333,1.333333333,0,3.666666667,28,3.666666667,3.5,3.833333333,0,0,0,0
